aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.008,0.958,0.216,2.258,-1.282,-1.831,76.816,0.26
0.002,0.956,0.229,2.319,-1.038,-0.122,76.816,0.326
-0.038,0.945,0.226,3.113,0.61,-0.122,76.808,-0.242
0.024,0.947,0.225,3.357,-0.854,1.038,76.734,-0.055
0.011,0.962,0.24,15.686,-1.709,1.038,76.414,-0.004
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.014,0.925,0.284,10.986,1.404,1.282,75.52,0.172
0.007,0.935,0.288,-1.221,4.517,-0.916,74.581,0.827
0.026,0.974,0.207,4.211,0.793,1.16,74.946,0.851
0.014,0.962,0.227,-2.441,-0.488,2.075,75.127,0.89
0.01,0.958,0.215,-0.305,1.099,1.282,76.225,0.832
-0.006,0.969,0.219,-0.671,-1.404,0.549,77.33,0.641
-0.028,0.987,0.193,15.93,4.089,1.953,77.579,-0.144
0.011,0.94,0.263,6.409,6.836,-0.732,76.994,-0.184
-0.004,0.918,0.27,11.597,10.559,-0.854,76.085,-0.392
0.011,0.94,0.254,10.315,6.714,-0.427,75.489,-0.14
0.021,0.941,0.287,5.066,5.615,0.427,73.969,0.592
0.034,0.969,0.295,5.249,7.263,0.122,73.628,0.919
0.052,0.934,0.281,5.676,5.615,0.061,73.477,1.722
0.019,0.938,0.282,-4.517,3.357,0.549,73.062,1.833
0.051,0.938,0.281,6.653,4.944,0.305,73.079,2.27
0.047,0.962,0.288,0.854,3.662,-0.549,73.113,2.47
0.035,0.927,0.3,4.395,2.319,-2.258,72.848,2.23
0.058,0.948,0.284,0.366,0.305,1.099,72.784,2.79
0.051,0.936,0.279,1.038,3.235,0.366,72.807,2.785
0.078,0.938,0.273,-0.427,3.113,-0.427,72.84,3.251
0.196,0.932,0.261,0.061,1.282,-2.38,72.806,5.595
0.062,0.947,0.249,4.15,0.916,-1.16,73.251,5.668
-0.056,0.902,0.238,1.892,-0.183,0.793,74.124,4.16
0.073,0.946,0.282,4.028,3.296,0.671,74.046,4.075
0.056,0.947,0.272,2.441,2.197,1.526,74.329,1.996
0.062,0.941,0.267,-0.977,0.061,1.648,74.057,1.985
0.079,0.931,0.262,-2.075,-3.052,2.197,73.491,3.933
0.044,0.957,0.265,-2.441,-3.479,1.648,73.864,3.51
0.032,0.956,0.252,4.028,-0.366,-0.916,74.254,3.165
0.041,0.946,0.257,2.441,-0.061,-0.854,74.461,2.862
0.05,0.949,0.25,5.188,0.244,-1.526,74.758,2.434
0.058,0.949,0.257,1.099,-0.122,0.977,74.805,2.639
0.055,0.943,0.258,-0.488,0.854,0.671,74.612,2.981
0.055,0.963,0.244,-1.648,-1.099,-0.549,74.809,3.18
0.057,0.955,0.234,1.404,-0.671,-1.404,75.042,3.278
0.047,0.957,0.234,1.526,-0.122,-0.061,75.414,3.113
0.058,0.961,0.241,-1.648,-0.854,1.648,75.701,3.142
0.064,0.956,0.235,1.648,0.977,0.61,75.773,3.271
0.04,0.955,0.23,-0.732,-0.122,-0.305,75.876,3.025
0.035,0.97,0.225,0.916,-0.916,-2.075,76.084,2.85
0.073,0.954,0.217,2.747,-1.099,-1.526,76.337,3.083
0.074,0.95,0.244,4.333,0.977,1.221,76.167,3.242
0.035,0.958,0.216,1.953,-1.282,-1.282,76.38,3.167
0.067,0.949,0.237,6.531,1.343,-1.221,76.028,3.637
0.069,0.947,0.241,1.831,1.038,1.709,75.697,3.576
-0.006,0.982,0.234,1.892,0.732,-0.427,76.179,2.387
0.058,0.95,0.251,13.306,5.249,-2.136,75.611,2.716
0.076,0.941,0.238,0.427,-1.038,-2.747,75.554,2.852
0.079,0.955,0.245,5.432,0.366,-2.686,75.494,2.994
0.105,0.943,0.241,2.563,0,-0.244,74.859,4.638
0.1,0.951,0.235,-3.357,-1.282,1.099,74.879,5.26
0.087,0.959,0.199,-3.357,-1.099,-1.343,75.402,5.41
0.108,0.92,0.23,2.258,0.488,3.906,75.309,5.889
0.067,0.97,0.208,-0.183,1.221,0.305,76.054,5.3
0.085,0.953,0.222,1.77,1.16,0.427,76.312,5.086
0.082,0.958,0.223,1.831,1.648,-0.061,76.016,5.013
0.064,0.965,0.212,-1.404,1.16,1.953,76.623,4.322
0.084,0.953,0.211,-0.122,0.732,3.235,76.436,4.589
0.037,0.962,0.197,-0.183,0.427,1.038,77.024,3.888
0.063,0.97,0.182,0.488,-1.038,0.977,77.695,3.615
0.059,0.965,0.195,3.479,1.892,2.197,77.95,3.546
0.033,0.972,0.192,1.953,1.282,0.854,78.47,2.792
0.054,0.962,0.192,2.625,0.854,0.122,78.475,3.038
0.078,0.966,0.207,4.089,3.601,0.61,78.058,3.244
0.054,0.958,0.188,4.822,2.747,0.427,78.146,3.182
0.058,0.951,0.185,-7.446,0.244,2.014,78.072,3.57
0.039,0.961,0.171,-1.587,1.526,1.587,78.417,3.351
0.042,0.954,0.162,-3.479,-1.587,3.845,79.157,2.85
0.022,0.976,0.173,-0.549,-0.244,1.099,79.54,2.364
0.04,0.961,0.157,3.601,1.282,1.099,80.014,2.096
0.013,0.956,0.128,-5.127,-4.15,2.808,80.683,1.724
0.02,0.983,0.125,0.122,-0.671,2.319,81.329,1.388
-0.015,0.964,0.14,1.648,2.686,0,81.85,0.862
0,0.979,0.122,2.563,1.77,-0.427,82.442,0.28
0.017,1.005,0.108,-2.014,-3.906,0.793,82.825,0.339
0.022,0.974,0.117,5.676,3.235,-0.427,82.921,0.364
-0.002,0.998,0.125,0.793,0.671,0.305,83.177,0.546
0.013,0.964,0.117,-3.784,-4.028,0.916,83.198,0.736
0.003,0.989,0.109,-0.732,-1.343,0.732,83.175,0.531
0.015,0.979,0.127,3.662,1.648,-0.427,83.054,0.426
0.004,0.981,0.12,-2.747,-3.235,1.831,83.097,0.513
-0.001,0.988,0.107,1.831,2.319,0.671,83.295,0.302
0.006,0.993,0.092,1.892,1.587,-1.831,83.544,0.344
-0.006,0.978,0.098,1.709,-2.014,-0.916,83.967,0.042
-0.002,0.978,0.11,-0.488,-2.014,1.831,84.093,-0.042
0.006,0.976,0.104,3.479,1.465,0.183,84.127,0.066
0.006,0.973,0.088,0,0.122,-0.427,84.157,0.071
0.02,0.977,0.084,3.113,0.488,0.549,84.334,0.448
-0.001,0.974,0.089,-0.122,0.549,2.197,84.635,0.462
-0.045,0.982,0.09,2.93,-2.136,1.526,84.85,-0.291
-0.037,0.989,0.104,7.874,-3.357,1.343,84.573,-0.923
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.038,0.943,0.123,11.169,-0.305,-0.061,83.782,-1.776
-0.028,0.962,0.154,-9.216,0.427,-1.16,82.749,-2.177
-0.025,1.016,0.08,5.066,1.343,1.221,83.035,-1.873
-0.019,0.976,0.085,-1.038,-0.183,0.732,83.34,-1.616
-0.028,0.987,0.094,1.648,1.709,-0.671,83.854,-1.459
-0.047,1.005,0.117,14.038,6.653,-3.601,84.35,-1.72
0.002,0.974,0.131,11.047,4.7,0.671,83.683,-1.335
0.012,0.965,0.138,5.615,4.578,0.061,82.989,-0.89
-0.008,0.966,0.165,6.165,7.69,0.244,81.955,-0.593
0.007,0.969,0.173,4.333,6.409,-1.648,81.094,0.191
0.01,0.965,0.174,5.737,6.042,-1.282,80.445,0.3
0.02,0.979,0.184,4.456,6.287,-1.831,79.816,0.413
0.067,0.965,0.191,6.042,5.859,-1.404,79.348,1.494
0.066,0.945,0.204,3.296,3.784,-1.038,78.686,2.358
0.076,0.939,0.193,5.371,3.662,-0.732,78.112,3.341
0.036,0.959,0.207,5.188,3.235,-0.183,77.672,3.594
0.034,0.957,0.222,4.822,2.93,-1.343,77.352,3.122
0.049,0.959,0.212,-0.427,0.793,-1.953,77.351,2.865
0.052,0.967,0.206,1.343,1.343,-0.854,77.341,2.487
0.069,0.955,0.226,5.188,3.479,-0.244,76.964,2.972
0.047,0.955,0.228,3.113,1.77,1.16,76.834,3.155
0.041,0.957,0.229,0.122,-0.427,1.282,76.622,3.038
0.062,0.965,0.217,2.197,-0.732,1.038,76.424,3.19
0.068,0.958,0.216,-1.16,-2.869,-0.061,76.566,3.168
0.053,0.959,0.216,0.488,-1.465,-0.305,76.717,3.255
0.046,0.96,0.203,1.709,-0.854,0.305,77.068,3.326
0.043,0.964,0.211,2.502,0.916,0.61,77.214,3.057
0.059,0.96,0.218,3.601,1.77,-0.916,77.233,2.923
0.057,0.956,0.21,-0.183,0.244,0.061,77.296,2.977
0.039,0.971,0.199,1.221,0.549,-0.549,77.397,2.869
0.065,0.981,0.192,1.343,-0.244,1.404,77.64,3.176
0.071,0.963,0.212,4.089,1.221,-0.366,77.677,3.349
0.049,0.969,0.196,3.113,-0.366,0.916,77.934,3.228
0.041,0.959,0.216,1.038,-0.793,-1.16,77.664,3.272
0.054,0.96,0.205,1.343,-0.977,-0.916,77.457,3.13
0.049,0.967,0.224,5.188,2.075,-2.258,77.383,2.81
0.072,0.95,0.22,4.639,0.305,-2.014,76.915,3.161
0.076,0.939,0.222,1.709,-1.343,-4.272,76.642,3.683
0.09,0.947,0.235,5.554,0.305,-1.587,76.049,4.209
0.095,0.945,0.23,-1.099,-0.61,2.258,75.68,4.906
0.086,0.956,0.224,1.099,0,1.343,75.573,5.09
0.095,0.969,0.22,1.282,0.549,-0.183,75.609,5.325
0.068,0.963,0.216,2.869,1.465,0.793,76.022,4.994
0.092,0.944,0.218,2.808,0.977,0.305,76.189,4.949
0.088,0.943,0.212,-2.258,-0.061,2.441,76.299,5.006
0.067,0.974,0.214,-1.282,0.61,3.174,76.532,4.597
0.054,0.967,0.207,-0.671,1.465,3.174,76.735,4.39
0.061,0.965,0.196,3.418,1.343,1.465,77.239,3.925
0.06,0.963,0.2,0.366,0.854,1.282,77.58,3.501
0.055,0.973,0.181,0.732,0.549,0.854,78.065,3.339
0.041,0.962,0.18,0.916,0.061,0.549,78.475,3.149
0.05,0.974,0.189,2.991,1.221,0.244,78.644,2.991
0.06,0.96,0.191,5.31,3.235,1.648,78.762,3
0.044,0.968,0.202,-0.061,2.747,2.075,78.509,2.836
0.039,0.979,0.196,2.563,1.77,0.183,78.346,2.804
0.044,0.959,0.173,5.676,1.77,-2.197,78.535,2.728
0.05,0.956,0.2,3.906,2.441,0.366,78.432,2.576
0.06,0.968,0.172,-5.249,-2.869,2.014,78.786,2.818
0.052,0.973,0.185,4.028,2.38,0.61,78.866,3.014
0.062,0.957,0.168,-3.845,0.977,2.93,78.857,3.281
0.012,0.976,0.171,4.15,0.732,0.183,79.459,2.715
0.026,0.969,0.16,2.319,-0.61,1.404,79.742,2.217
0.051,0.968,0.168,2.38,0.549,0.732,79.965,2.198
0.038,0.969,0.165,0.854,-1.038,0.793,80.113,1.835
-0.008,0.983,0.172,-1.465,-3.723,3.296,80.17,1.543
0.04,0.971,0.147,2.625,0.793,-0.244,80.331,1.754
0.026,0.967,0.164,2.502,0,-0.854,80.452,1.397
0.022,0.969,0.163,4.761,-0.793,2.014,80.5,1.163
0.011,0.958,0.187,5.432,-1.404,1.221,80.188,1.453
0.03,0.978,0.161,-2.625,-5.554,-1.16,80.024,1.293
0.027,0.976,0.152,-0.427,-8.667,-0.061,80.212,1.309
0.01,0.978,0.145,1.221,-3.906,-0.061,80.518,1.135
-0.002,0.973,0.145,0.061,-3.723,-0.549,81.171,0.934
-0.006,0.979,0.139,0,-2.38,-0.183,81.53,0.413
0.004,0.985,0.135,5.066,0.122,-0.122,81.806,0.078
0.005,0.981,0.159,4.15,0.061,0.183,81.608,0.004
0.025,0.97,0.155,3.357,1.038,0.732,81.455,0.397
-0.014,0.986,0.158,-3.052,-4.028,0.854,81.208,0.285
-0.008,0.98,0.143,0.305,-1.953,0.366,81.088,0.115
-0.005,0.975,0.157,0,0.244,-1.221,81.111,-0.023
0.004,0.962,0.153,7.202,2.075,-0.488,81.112,-0.32
-0.019,0.966,0.157,3.723,-1.648,1.099,81.072,-0.395
-0.01,0.982,0.204,22.461,-2.502,1.16,80.201,-0.426
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.022,0.973,0.187,7.202,-0.061,0.61,79.753,-0.682
-0.019,0.959,0.178,-20.081,3.906,-1.038,79.361,-1.019
-0.015,0.968,0.141,2.93,0.854,2.686,79.606,-0.964
-0.03,0.99,0.121,4.639,3.479,2.014,80.763,-1.255
-0.025,0.977,0.148,8.24,7.324,-1.465,81.324,-1.291
-0.031,0.952,0.155,12.146,6.897,-2.319,81.609,-1.476
0.006,0.968,0.166,10.742,9.949,0,81.295,-1.158
-0.018,0.961,0.206,10.437,8.667,0.61,80.03,-0.986
0,0.96,0.226,3.54,6.958,-2.136,78.888,-0.625
0.056,0.956,0.22,7.324,5.127,-2.014,77.968,0.648
0.01,0.963,0.243,3.784,4.639,-1.343,76.854,0.692
0.026,0.955,0.245,5.615,4.7,-0.305,76.24,1.327
0.058,0.959,0.245,1.221,0.977,1.953,75.858,2.177
0.035,0.958,0.252,-1.892,-0.427,0.671,75.456,1.875
0.023,0.972,0.241,1.526,1.221,-0.427,75.493,2.058
0.026,0.966,0.25,4.211,3.479,-0.427,75.467,2.046
0.035,0.951,0.262,2.991,4.761,-1.282,75.262,1.703
0.057,0.95,0.259,2.441,5.066,-1.709,75.099,2.021
0.07,0.958,0.259,1.709,3.845,-0.732,74.694,2.708
0.054,0.95,0.263,4.333,4.517,-0.305,74.377,3.12
0.058,0.951,0.273,3.235,5.005,-0.732,74.146,3.453
0.081,0.927,0.278,3.357,3.601,0.183,73.728,3.817
0.062,0.938,0.279,2.136,2.014,0.977,73.401,3.709
0.058,0.939,0.271,0.61,0.549,2.991,73.238,3.775
0.073,0.95,0.272,0.244,0.671,2.686,73.202,4.002
0.052,0.947,0.268,1.282,0.427,-0.122,73.512,3.563
0.038,0.943,0.257,-2.869,-2.441,0.122,73.903,3.224
0.055,0.953,0.25,1.465,-1.16,-0.854,74.247,3.179
0.068,0.944,0.254,3.052,0.305,-0.671,74.487,3.104
0.063,0.954,0.24,-3.357,-1.221,-0.183,74.871,3.261
0.073,0.947,0.237,2.747,0.977,0.427,75.041,3.762
0.057,0.946,0.238,1.709,1.038,0.427,75.186,3.8
0.007,0.96,0.247,15.503,1.709,0.122,75.538,2.906
0.074,0.951,0.232,1.16,0.488,1.77,75.597,3.073
0.048,0.974,0.223,1.953,1.282,0.793,75.958,2.7
0.049,0.953,0.227,2.991,-0.488,0,76.153,2.575
0.06,0.959,0.222,0.488,-0.854,-0.854,76.34,3.347
0.044,0.953,0.227,1.099,-0.977,-0.854,76.515,2.904
0.046,0.96,0.217,2.197,-0.732,-0.916,76.558,2.887
