aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.278,0.696,0.634,-27.527,42.542,13.428,40.618,-23.086
-0.234,0.758,0.665,-17.273,56.091,12.634,43.714,-18.622
-0.069,0.7,0.755,-3.235,60.242,15.503,44.869,-13.145
0.029,0.753,0.681,-1.709,44.189,10.254,46.182,-7.853
0.056,0.739,0.626,-13.367,31.555,3.784,47.148,-3.098
0.149,0.777,0.651,-9.033,43.945,-7.446,47.525,2.353
0.207,0.793,0.534,-2.93,30.029,3.357,50.421,6.377
0.24,0.746,0.607,2.563,16.602,3.601,50.658,9.496
0.254,0.697,0.582,13.245,2.502,0.244,50.088,12.494
0.245,0.801,0.429,6.714,3.357,-11.414,52.268,14.252
0.327,0.864,0.513,11.414,12.39,3.479,52.533,15.778
0.278,0.745,0.554,-3.967,4.517,-5.737,52.866,16.441
0.276,0.789,0.49,7.385,7.202,3.296,54.486,16.635
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.238,0.668,0.66,16.479,-0.854,0.61,50.989,16.465
0.313,0.724,0.535,-18.188,4.578,8.545,49.519,16.69
0.26,0.813,0.548,0.305,0.61,-1.282,50.314,16.23
0.248,0.724,0.526,-2.075,-6.47,4.7,49.463,15.961
0.261,0.786,0.508,-0.427,9.094,4.822,52.037,16.267
0.283,0.772,0.46,0.793,-19.775,-1.648,53.421,15.854
0.252,0.8,0.616,-3.845,-39.795,-8.789,52.636,15.623
0.197,0.767,0.602,0.793,-39.673,-17.029,52.483,14.591
0.086,0.793,0.632,16.968,-50.232,-14.954,51.969,11.868
0.018,0.723,0.608,20.874,-32.898,-10.132,50.75,7.982
-0.025,0.666,0.67,8.484,-23.621,-9.521,49.406,4.081
-0.055,0.654,0.716,3.906,-21.606,-11.658,47.19,0.367
-0.045,0.664,0.741,14.221,-22.522,-13.55,44.674,-1.576
-0.088,0.622,0.763,19.287,-23.56,-14.648,41.961,-3.128
-0.134,0.599,0.804,14.771,-27.039,-14.221,39.863,-4.662
-0.16,0.613,0.805,15.442,-28.564,-13.672,38.499,-6.103
-0.231,0.517,0.775,23.132,-32.654,-10.803,36.263,-8.867
-0.303,0.526,0.8,6.775,-32.41,-13.367,34.445,-11.977
-0.384,0.453,0.704,-1.282,-23.437,-10.132,32.85,-16.086
-0.434,0.494,0.72,10.925,-25.085,-5.188,31.16,-20.582
-0.453,0.469,0.688,-7.019,-27.71,-12.268,30.401,-24.204
-0.572,0.529,0.599,-0.732,-27.527,-7.874,30.684,-28.901
-0.583,0.558,0.588,7.202,-21.24,-3.723,31.843,-31.684
-0.618,0.501,0.494,6.409,-17.029,-4.15,32.347,-35.339
-0.685,0.525,0.516,0.916,-11.536,-0.61,32.67,-38.879
-0.638,0.552,0.505,5.92,-12.085,-0.793,33.036,-40.096
-0.724,0.576,0.412,-3.601,-6.348,0.854,33.224,-42.672
-0.715,0.53,0.406,-0.793,3.052,2.319,33.341,-44.061
-0.684,0.567,0.406,-2.808,6.287,2.93,34.334,-44.411
-0.677,0.54,0.401,-4.883,18.188,4.15,34.356,-45.559
-0.662,0.559,0.447,-12.512,25.146,12.085,34.452,-44.84
-0.619,0.583,0.509,-13.123,34.668,23.499,35.306,-42.747
-0.641,0.423,0.561,-5.554,38.879,23.315,33.095,-42.378
-0.544,0.467,0.651,-20.752,48.95,19.104,31.761,-39.682
-0.442,0.546,0.708,-17.944,51.514,27.222,31.405,-35.416
-0.45,0.544,0.671,-33.386,51.392,32.41,30.81,-32.498
-0.299,0.543,0.707,-28.442,57.373,15.381,32.948,-26.706
-0.207,0.646,0.676,-18.25,47.058,8.423,36.36,-21.334
-0.077,0.756,0.747,-24.902,41.87,-0.793,39.809,-15.415
-0.04,0.766,0.695,-6.775,32.41,8.179,43.132,-9.035
-0.012,0.73,0.628,-4.761,24.536,9.155,46.319,-4.799
0.031,0.754,0.61,-7.263,34.119,0,48.245,-1.389
0.108,0.775,0.588,-1.465,30.334,-0.061,50.157,1.275
0.186,0.762,0.496,-10.193,34.607,-2.014,52.186,4.706
0.218,0.813,0.56,4.944,31.128,2.625,53.23,8.063
0.258,0.781,0.568,5.371,18.25,0.305,53.195,11.363
0.229,0.794,0.365,6.714,6.531,11.658,55.322,13.447
0.295,0.815,0.54,26.978,19.47,-4.089,54.726,14.762
0.283,0.676,0.558,11.902,-5.432,2.808,53.204,16.139
