aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.056,0.268,0.957,0.732,-3.357,-3.174,14.73,0.167
-0.092,0.255,0.958,9.949,-3.906,-1.526,15.034,-1.667
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.008,0.259,0.959,8.728,2.991,0.305,14.793,-1.829
-0.019,0.204,0.966,-13.916,5.981,-2.197,14.396,-2.532
0.018,0.242,0.951,-1.526,2.686,0.122,14.059,-1.465
-0.067,0.242,0.962,8.667,3.601,2.38,13.859,-1.095
-0.036,0.227,0.956,7.019,4.944,1.587,13.415,-1.495
0.052,0.211,0.936,1.099,12.573,11.23,13.614,-0.47
0.04,0.218,0.952,1.099,9.338,-1.038,13.28,-0.145
0.06,0.209,0.951,15.503,7.69,0.793,12.838,1.721
0.106,0.186,0.957,9.033,3.357,1.526,12.223,3.806
0.109,0.145,0.964,5.005,0.061,3.723,11.175,4.628
0.142,0.216,0.966,-11.963,-13.977,-6.836,11.07,6.086
0.103,0.203,0.961,3.296,-0.916,4.7,10.939,6.693
0.075,0.204,0.965,4.456,-0.183,4.822,11.185,6.227
0.078,0.168,0.956,5.249,4.395,-1.77,11.545,5.777
0.089,0.207,0.962,-0.732,1.16,-2.686,11.451,5.023
0.131,0.184,0.95,2.197,2.197,-5.249,11.208,5.44
0.157,0.176,0.959,3.052,-0.732,-2.747,10.791,6.647
0.071,0.212,0.95,1.282,2.014,-0.122,11.441,6.549
0.169,0.176,0.939,-11.169,-1.343,-0.305,11.034,7.769
0.125,0.25,0.955,-9.155,-2.747,6.348,11.973,7.65
0.067,0.258,0.958,4.211,0.061,7.202,13.187,6.321
0.092,0.184,0.945,6.348,1.587,4.028,12.797,6.641
0.093,0.283,0.941,0.061,1.099,6.042,14.325,5.49
0.044,0.275,0.951,7.629,6.165,2.502,14.709,4.315
0.012,0.204,0.956,3.052,-2.502,-5.798,13.972,3.534
-0.001,0.259,1.005,11.353,-7.629,-6.958,14.831,2.131
0.027,0.173,0.87,-0.122,-3.113,-7.019,13.547,1.215
0.015,0.247,0.959,2.869,0.305,-1.587,13.12,0.791
-0.011,0.219,0.959,5.493,2.197,-1.709,13.315,0.438
-0.022,0.232,0.96,0,-0.916,-4.944,13.082,0.133
0.031,0.207,0.968,16.785,-1.77,1.465,13.239,0.179
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.002,0.165,0.996,7.08,-0.916,2.869,11.972,-0.076
0.033,0.152,0.923,-13.977,10.01,2.014,11.134,0.573
0.008,0.186,0.963,8.301,1.526,1.404,10.454,1.009
-0.034,0.181,0.966,6.042,4.089,0.061,10.078,0.064
0.016,0.173,0.982,3.601,7.507,7.263,10.229,0.327
0.051,0.202,0.979,8.484,11.047,8.972,10.796,0.579
0.073,0.172,0.952,9.888,4.333,1.953,10.633,1.534
0.111,0.142,0.945,10.193,1.404,4.395,10.12,3.66
0.13,0.068,0.966,10.986,3.723,22.888,8.609,5.374
0.125,0.116,0.965,2.747,-0.366,0.549,7.371,6.504
0.109,0.104,0.982,7.507,1.587,2.869,6.307,6.984
0.027,0.111,0.988,2.563,-1.099,-4.517,5.807,5.7
0.13,0.111,0.961,4.761,2.563,-5.249,6.442,5.689
0.118,0.11,0.958,-1.77,0.549,-9.827,6.358,5.595
0.14,0.129,0.973,2.38,2.625,-4.7,6.734,6.063
0.145,0.116,0.962,1.709,-0.549,-1.526,6.828,7.814
0.156,0.109,0.964,1.282,0.122,1.099,6.787,8.189
0.122,0.138,0.966,-0.366,-0.793,1.465,7.177,8.22
0.164,0.147,0.968,-1.404,1.16,4.578,7.447,8.564
0.18,0.1,0.946,-1.892,2.441,1.343,7.225,9.11
0.135,0.203,0.977,-3.174,-1.404,-3.052,8.557,8.749
0.11,0.199,0.986,6.042,1.526,8.301,9.399,8.519
0.118,0.162,0.923,5.798,2.136,6.714,9.738,7.949
0.048,0.203,0.984,-1.404,-2.869,-1.77,11.158,5.948
