aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.008,0.965,0.272,9.521,34.546,10.132,74.876,0.137
0.001,0.93,0.285,3.052,34.912,10.62,74.095,0.153
0.003,0.942,0.299,-0.305,32.715,9.766,73.206,0.27
0.017,0.946,0.325,10.498,29.358,9.277,72.658,0.424
0.007,0.923,0.303,2.197,24.17,7.874,72.044,0.422
0.016,0.924,0.342,0.122,12.817,4.211,71.223,0.642
0.007,0.915,0.299,7.263,1.099,1.343,71.092,0.699
0.007,0.939,0.27,-3.662,-1.587,-0.366,71.826,0.548
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.007,0.921,0.285,25.513,-0.732,0.671,72.075,0.333
0.012,0.928,0.303,-21.24,5.554,-1.953,72.648,0.276
0.035,0.941,0.285,-0.061,-4.089,-1.77,72.948,0.683
0.05,0.951,0.301,-0.549,-27.771,-6.348,72.538,1.306
0.044,0.937,0.278,7.996,-44.8,-10.315,72.629,2.045
0.06,0.975,0.266,-8.667,-72.754,-19.531,73.236,2.712
0.001,0.959,0.222,10.254,-49.805,-11.414,74.248,2.23
0.007,0.971,0.2,0.183,-41.687,-10.62,75.795,1.613
-0.028,0.989,0.166,-0.732,-7.507,-1.892,77.621,0.575
0.002,0.926,0.276,7.935,2.075,0.671,77.337,-0.256
-0.01,0.963,0.236,5.249,2.563,0.732,77.146,-0.42
-0.007,0.967,0.224,7.629,13.123,5.005,76.778,-0.621
-0.001,0.948,0.264,10.071,27.283,8.423,75.259,-0.235
0.005,0.933,0.311,7.568,31.555,10.132,74.802,-0.19
0.01,0.926,0.327,6.592,28.687,9.766,73.38,0.092
0.008,0.934,0.328,1.221,23.254,8.057,71.788,0.318
0.008,0.922,0.318,2.808,22.888,7.935,70.918,0.452
0.013,0.927,0.329,3.906,23.682,8.118,70.628,0.564
0.006,0.93,0.27,1.526,28.748,8.972,71.443,0.52
0.019,0.927,0.336,2.625,30.518,10.071,71.306,0.676
0.018,0.923,0.346,2.563,21.484,7.629,70.927,0.817
0.023,0.919,0.375,1.648,8.911,2.991,70.249,0.966
0.009,0.942,0.31,3.174,0.427,-0.122,69.754,1.002
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.038,1.018,0.282,10.986,-0.366,0.854,70.907,1.262
-0.02,0.919,0.28,-28.625,5.615,-0.854,71.805,0.729
0.042,0.916,0.324,10.559,-19.592,-3.357,72.477,1.007
0.049,0.939,0.228,1.587,-54.443,-12.512,73.562,1.592
0.033,0.975,0.193,-5.066,-48.767,-10.193,74.643,1.545
0.036,0.942,0.214,2.747,-45.166,-8.606,75.565,2.362
0.01,0.969,0.158,6.348,-42.236,-7.141,78.158,1.881
-0.029,0.986,0.033,-6.775,-18.372,-2.625,81.198,0.73
0.01,0.926,0.248,14.404,3.601,0.977,80.303,0.388
-0.002,0.977,0.183,7.202,1.343,0.183,80.84,-0.165
-0.018,0.916,0.151,9.644,12.512,4.517,80.808,-0.577
-0.008,0.957,0.217,10.193,27.832,7.69,78.063,-0.255
0.012,0.956,0.261,10.742,37.72,11.169,77.965,-0.223
0.023,0.929,0.318,4.7,35.828,11.353,75.861,0.134
0.009,0.934,0.319,4.517,27.466,9.033,73.539,0.519
0.012,0.931,0.314,3.418,24.048,7.812,72.073,0.807
0.011,0.935,0.318,0.366,22.949,7.446,71.198,0.803
0.009,0.93,0.312,1.587,20.874,6.592,71.291,0.602
0.013,0.936,0.305,0.977,16.479,5.188,71.494,0.661
0.014,0.922,0.321,3.906,17.273,5.798,71.351,0.691
0.019,0.942,0.313,1.648,7.202,2.258,71.44,0.798
0.008,0.954,0.28,-0.183,1.038,0.366,71.992,0.78
-0.006,0.962,0.253,11.536,-2.808,-0.427,72.829,0.506
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.033,0.857,0.277,9.583,-1.465,0.732,73.167,-0.182
0.009,0.921,0.308,-20.386,3.357,-1.038,73.151,-0.326
0.011,0.95,0.266,0.549,-3.052,-1.77,73.338,-0.283
0.035,0.926,0.307,2.38,-21.667,-4.578,72.42,0.33
0.042,0.955,0.279,1.526,-44.25,-10.254,72.777,1.414
0.026,0.955,0.229,-3.418,-46.631,-10.498,73.999,1.65
0.015,0.97,0.218,-0.488,-45.288,-9.399,74.734,1.711
0.018,0.96,0.236,-0.977,-35.034,-7.08,75.867,1.447
0.01,0.968,0.211,-0.061,-31.86,-6.531,76.901,0.983
-0.017,0.978,0.133,-4.211,-22.156,-4.211,78.356,0.371
-0.003,0.944,0.223,10.254,1.77,0.732,78.219,0.112
-0.005,0.965,0.207,5.737,1.587,0.183,78.645,-0.221
-0.006,0.972,0.205,9.216,5.31,1.892,78.734,-0.457
-0.011,0.972,0.196,8.667,19.531,5.432,77.819,-0.38
-0.005,0.943,0.271,12.085,30.64,8.85,77.131,-0.414
0.005,0.929,0.299,9.705,29.907,9.521,75.712,-0.263
0.006,0.937,0.294,3.479,32.41,10.864,74.324,-0.082
0.01,0.937,0.328,5.432,33.936,11.78,72.33,0.238
0.014,0.918,0.349,9.033,34.363,11.902,71.134,0.521
0.026,0.915,0.354,-0.977,28.687,10.376,70.304,0.819
0.017,0.898,0.365,5.859,21.973,7.751,69.134,0.985
0.01,0.922,0.335,-6.714,11.414,4.15,68.969,0.979
0.016,0.934,0.331,-0.427,10.803,3.601,69.288,1.002
0.005,0.928,0.322,13.977,-2.563,1.465,69.806,0.704
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.012,0.938,0.31,8.85,0.549,-0.427,70.757,0.626
-0.008,0.983,0.295,-39.795,4.272,-2.563,71.595,0.363
0.027,0.911,0.293,-8.606,-4.15,-1.282,72.019,0.524
0.043,0.966,0.258,-5.981,-32.349,-6.165,73.042,1.071
0.038,0.954,0.232,7.019,-41.321,-7.812,74.161,1.449
0.032,0.983,0.249,15.869,-45.532,-10.803,74.731,2.03
0.032,0.96,0.242,10.864,-48.218,-11.719,75.602,2.091
0.014,0.93,0.214,7.812,-37.659,-8.972,76.149,1.686
-0.007,0.944,0.223,-1.709,-30.151,-6.775,76.301,1.04
-0.031,0.969,0.141,-1.099,-15.015,-3.235,77.832,0.12
0.004,0.92,0.294,15.808,2.563,0.793,76.943,-0.302
-0.003,0.958,0.249,2.808,1.648,0.244,76.525,-0.551
-0.007,0.959,0.206,0.977,1.038,0.488,76.814,-0.556
-0.014,0.967,0.217,5.859,17.212,4.883,75.744,-0.305
0.007,0.938,0.289,9.155,30.212,9.216,75.887,-0.257
0.009,0.944,0.313,5.493,29.846,9.949,74.931,-0.085
-0.001,0.935,0.304,2.258,28.625,9.094,73.469,0
0.01,0.936,0.319,9.338,31.128,9.705,71.914,0.347
0.012,0.922,0.309,3.357,34.424,11.841,71.564,0.419
0.027,0.921,0.337,5.92,31.067,10.498,71.123,0.693
0.019,0.919,0.333,0,25.269,8.667,70.633,0.987
0.033,0.932,0.462,-2.563,3.296,1.587,68.657,1.31
0.012,0.941,0.297,3.601,0.732,-0.122,68.908,1.318
0.002,0.954,0.308,22.705,-2.747,1.831,69.48,0.95
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.002,0.923,0.334,21.301,-2.686,-0.305,69.499,0.704
0.017,1,0.297,-23.56,0.427,-1.526,72.054,0.471
0.016,0.927,0.296,-17.029,-7.324,-2.563,72.016,0.525
0.069,0.945,0.283,-6.165,-38.94,-9.216,72.265,1.494
0.016,0.967,0.204,-0.366,-39.734,-8.301,74.205,1.692
-0.006,0.954,0.208,-0.305,-34.241,-7.019,75.297,1.383
0.017,0.95,0.24,3.113,-31.555,-5.981,76.162,1.394
-0.005,0.961,0.207,-4.333,-33.447,-6.958,77.357,0.317
-0.002,0.962,0.183,0.427,-26.672,-4.639,77.646,0.063
-0.013,0.97,0.157,-4.028,-19.165,-3.174,78.415,-0.03
-0.018,0.999,0.151,1.709,0.427,-0.183,79.81,-0.534
-0.009,0.968,0.189,0.427,0.183,-0.122,80.076,-0.597
-0.009,0.973,0.182,3.906,1.16,0.244,80.111,-0.698
-0.02,0.952,0.156,11.597,8.606,2.502,80.078,-0.807
-0.006,0.946,0.214,12.756,23.743,5.981,79.049,-0.639
0.002,0.948,0.271,7.874,25.879,7.202,77.827,-0.485
0.004,0.956,0.279,5.737,24.231,6.836,76.393,-0.297
0.007,0.938,0.28,4.944,23.499,7.08,74.586,0.107
0.002,0.945,0.299,4.578,19.165,6.042,73.391,0.22
-0.004,0.939,0.28,5.31,18.982,5.859,73.23,0.138
0,0.942,0.277,1.465,22.766,6.897,73.201,0.089
0.005,0.923,0.289,5.493,28.931,8.667,73.014,0.055
0.007,0.925,0.329,5.432,18.86,6.042,72.513,0.129
0.006,0.926,0.335,2.747,5.859,2.014,71.687,0.279
0.001,0.946,0.307,0.549,0.549,-0.183,71.283,0.285
0.005,0.922,0.325,5.249,0.427,0.61,70.79,0.288
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.002,0.922,0.34,9.277,-0.977,0.427,70.62,0.158
0.041,0.937,0.334,-30.09,6.165,-1.709,70.674,0.666
0.006,0.909,0.344,-3.906,-2.441,-1.221,69.989,0.744
0.031,0.934,0.344,1.892,-24.048,-5.554,69.766,1.11
0.03,0.954,0.239,-6.714,-45.654,-10.498,71.268,1.57
0.011,0.962,0.193,-2.502,-42.542,-8.728,73.369,1.136
0.021,0.937,0.199,4.333,-45.593,-8.423,75.499,1.361
-0.017,0.966,0.18,5.005,-30.334,-4.944,77.992,0.658
-0.004,0.96,0.183,-7.568,-25.574,-4.578,78.84,0.158
-0.029,0.981,0.104,1.038,-5.981,-1.648,80.168,-0.436
-0.006,0.945,0.21,4.7,0.305,-0.061,80.001,-0.833
-0.01,0.969,0.189,4.272,1.16,-0.061,79.885,-0.73
-0.037,0.967,0.093,13.977,18.127,3.235,81.143,-1.215
0.019,0.939,0.295,15.564,42.48,11.597,78.339,-0.509
0.016,0.919,0.298,7.874,33.447,10.681,77.006,-0.19
0,0.93,0.313,6.287,29.602,9.338,75.105,-0.041
0.001,0.934,0.311,4.211,26.306,8.545,71.896,0.518
0.008,0.926,0.331,6.226,29.419,10.132,71.335,0.364
0.013,0.904,0.367,5.188,19.775,7.019,70.319,0.317
0.008,0.919,0.353,0.671,14.648,5.371,69.71,0.431
0.003,0.914,0.312,-0.305,14.404,4.517,69.592,0.455
0.007,0.924,0.353,5.188,10.193,3.418,69.29,0.436
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.006,0.937,0.276,2.38,-0.916,-1.526,70.699,0.347
0.002,0.953,0.217,2.686,-4.395,-2.014,72.75,0.269
0.043,0.924,0.328,7.812,-20.813,-4.395,72.541,0.855
0.038,0.933,0.31,-2.38,-46.814,-12.512,73.149,1.315
0.041,0.943,0.268,20.691,-53.894,-13.977,73.235,1.823
0.006,0.952,0.255,3.296,-41.809,-11.475,72.699,1.88
0.001,0.938,0.251,-2.869,-36.926,-9.705,73.897,1.269
-0.022,0.959,0.218,-5.92,-24.475,-5.981,75.331,0.389
-0.016,0.979,0.251,6.714,0.427,0.244,75.706,-0.439
-0.007,0.952,0.262,-0.244,1.099,0.061,75.6,-0.628
-0.009,0.953,0.253,3.357,1.404,0.183,75.611,-0.765
-0.013,0.903,0.236,9.766,10.01,3.113,75.165,-0.648
-0.012,0.953,0.275,4.333,21.118,5.92,74.734,-0.603
-0.006,0.925,0.293,12.085,27.893,8.972,74.184,-0.595
0.008,0.943,0.335,1.038,26.855,9.277,72.997,-0.341
0.01,0.934,0.314,5.493,30.701,10.498,72.05,0.002
0.011,0.924,0.316,2.014,36.682,12.024,71.35,0.34
0.017,0.926,0.341,3.723,36.926,13,70.68,0.675
0.027,0.909,0.371,2.38,27.161,9.949,70.005,0.956
0.02,0.915,0.358,2.075,9.094,3.601,69.3,1.1
0.003,0.918,0.324,0.916,5.676,2.258,69.153,0.987
0.007,0.915,0.325,5.188,7.935,3.235,69.324,0.845
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.019,0.969,0.346,8.789,-0.916,0.122,69.982,0.172
0,0.882,0.318,-23.499,3.113,-0.732,70.369,-0.118
0.03,0.961,0.319,13.062,-14.465,-2.258,70.648,0.278
0.047,0.939,0.276,-7.08,-47.485,-10.315,71.422,0.859
0.063,0.964,0.184,-1.587,-60.608,-11.414,73.558,2.076
-0.008,0.975,0.153,-1.831,-53.406,-8.728,76.229,1.925
0.006,0.978,0.124,0.549,-36.011,-4.639,79.077,1.581
-0.018,0.959,0.144,4.456,-25.024,-2.991,81.114,0.633
-0.012,0.944,0.126,13.611,-16.113,-2.258,81.918,-0.47
-0.012,0.99,0.167,7.812,1.526,0.793,81.74,-0.515
-0.011,0.971,0.187,1.892,1.831,0.427,80.792,-0.761
-0.009,0.967,0.193,5.249,6.714,1.892,80.117,-0.63
-0.013,1.004,0.157,6.165,20.142,4.333,79.817,-0.636
-0.014,0.951,0.211,13.123,38.879,9.583,79.1,-0.672
0.015,0.933,0.265,13.184,41.931,11.902,77.902,-0.295
0.008,0.94,0.289,7.507,40.161,12.817,76.462,-0.044
0.01,0.928,0.319,10.437,44.434,14.221,73.895,0.294
0.024,0.915,0.349,7.141,39.673,13.611,71.778,0.851
0.032,0.9,0.381,2.808,29.053,11.108,70.015,1.094
0.024,0.909,0.358,-2.502,14.099,4.639,68.888,1.327
0.008,0.956,0.315,-0.183,-0.183,-0.732,69.092,1.284
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.019,0.927,0.3,2.075,0.122,-0.244,69.827,1.211
0.021,0.953,0.307,-27.954,3.845,-2.014,71.096,1.044
0.016,0.921,0.299,0.61,-2.991,-1.16,71.972,0.922
0.04,0.937,0.326,-8.85,-29.785,-5.371,71.696,1.395
0.068,0.972,0.25,8.85,-51.147,-9.46,72.518,2.092
-0.001,0.949,0.188,-1.831,-54.504,-11.23,74.183,1.797
0.014,0.989,0.146,-2.747,-37.598,-5.554,76.577,1.753
0.002,0.967,0.176,-1.343,-38.452,-5.676,78.842,1.207
-0.007,0.993,0.129,15.015,-34.485,-4.639,80.689,0.117
-0.034,1.016,0.064,-3.357,2.075,-0.977,82.587,-0.36
-0.004,0.959,0.186,0,0.366,0,81.936,-0.616
-0.007,0.966,0.179,4.211,0.916,-0.122,81.892,-0.744
-0.014,0.974,0.16,8.972,5.859,1.465,81.403,-0.853
-0.008,0.969,0.153,10.193,20.874,4.639,80.048,-0.486
-0.001,0.965,0.227,10.071,29.48,7.08,79.486,-0.435
0.001,0.945,0.254,6.836,29.785,8.118,78.347,-0.32
0.005,0.952,0.26,4.15,28.503,7.751,76.86,-0.036
0.004,0.947,0.254,3.845,32.043,8.545,75.357,0.144
0.02,0.946,0.29,6.042,36.072,11.108,74.389,0.448
0.016,0.934,0.308,7.202,31.982,10.62,73.59,0.655
0.016,0.926,0.322,2.625,27.832,9.521,72.603,0.807
0.007,0.876,0.332,6.042,0.061,1.282,71.194,0.854
0.001,0.927,0.303,9.338,0.183,-0.366,70.936,0.568
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
-0.016,0.969,0.22,18.433,-1.343,1.526,72.338,0.101
0.008,0.949,0.237,-23.132,5.005,-1.038,73.644,-0.004
0.019,0.981,0.243,4.7,-3.967,-1.892,75.307,0.177
0.026,0.933,0.261,4.639,-41.321,-10.01,75.904,0.543
0.041,0.959,0.236,-3.479,-50.415,-10.864,75.593,1.375
0.013,0.972,0.177,-3.174,-48.34,-9.216,76.508,1.433
0.002,0.965,0.181,8.789,-35.278,-5.676,77.36,1.196
-0.005,0.964,0.217,-0.732,-30.884,-5.859,78.117,0.743
-0.012,0.966,0.205,-2.991,-25.696,-4.944,78.599,-0.034
-0.031,0.985,0.111,-1.404,-7.08,-2.197,79.554,-0.667
-0.001,0.934,0.25,2.502,1.099,0.122,78.473,-0.718
-0.007,0.951,0.234,4.028,1.221,0.366,78.195,-0.753
-0.012,0.971,0.216,5.615,3.235,0.671,78.06,-0.743
-0.01,0.96,0.215,7.69,11.902,3.662,76.514,-0.44
-0.013,0.953,0.251,13.977,28.87,8.484,76.561,-0.614
0,0.927,0.283,16.541,33.875,12.085,75.78,-0.505
0.008,0.926,0.336,6.165,41.443,14.954,73.922,-0.218
0.015,0.904,0.371,3.418,40.161,15.259,71.497,0.148
0.025,0.915,0.365,4.883,39.124,14.954,69.732,0.704
0.021,0.893,0.409,3.967,30.64,11.963,67.826,1.001
0.017,0.904,0.367,1.831,22.339,9.033,67.281,1.133
0.026,0.896,0.422,0.671,8.301,3.357,66.545,1.286
0.008,0.919,0.36,7.507,-1.343,0.366,66.646,1.035
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.004,0.92,0.333,5.737,-0.305,0.793,67.837,0.79
0.005,0.96,0.304,-29.724,2.319,-2.136,68.987,0.611
0.013,0.931,0.286,-1.221,-5.737,-2.075,71.022,0.427
0.034,0.944,0.296,-5.798,-23.376,-5.005,72.005,0.817
0.046,0.956,0.264,-0.488,-43.152,-8.24,73.074,1.425
0.027,0.94,0.203,5.676,-56.885,-11.047,74.362,1.771
0.004,0.965,0.18,-4.272,-47.302,-10.315,75.982,1.646
-0.006,0.973,0.174,-9.033,-34.729,-6.775,77.859,1.06
-0.023,0.966,0.156,0.244,-27.771,-4.333,79.475,0.041
-0.013,0.974,0.136,-0.977,-14.954,-2.38,80.52,-0.555
-0.017,0.965,0.185,12.512,2.563,0.732,80.426,-0.861
-0.015,0.976,0.18,2.441,1.648,0.488,80.335,-0.988
-0.028,0.965,0.177,6.226,5.249,1.709,80.032,-1.062
-0.023,0.982,0.163,16.907,29.236,5.859,79.653,-1.196
0.003,0.936,0.258,21.545,39.856,11.23,78.573,-0.922
0.014,0.919,0.324,13.245,41.016,13.794,76.371,-0.515
0.024,0.917,0.359,5.127,34.241,12.695,73.627,0.256
0.006,0.914,0.355,5.066,29.907,11.414,70.633,0.677
0.011,0.915,0.369,3.113,24.17,8.606,68.994,0.793
0.009,0.91,0.36,2.93,17.09,6.409,68.454,0.719
0.008,0.924,0.34,3.113,17.761,6.47,68.746,0.482
0.027,0.908,0.451,7.812,2.563,1.953,67.412,0.784
