aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.967,0.154,-0.358,-13.855,16.724,4.211,10.743,69.428
0.94,0.173,-0.448,3.784,63.416,18.738,9.562,68.064
0.816,0.405,-0.585,22.4,77.576,37.598,13.012,63.148
0.634,0.345,-0.857,-6.042,95.581,43.091,14.941,53.402
0.458,0.398,-0.868,-12.451,101.501,39.001,18.439,42.965
0.17,0.406,-0.902,0.366,100.83,35.4,22.107,30.232
-0.074,0.318,-0.832,4.822,80.811,27.832,21.859,17.557
-0.322,0.303,-0.785,-8.545,48.401,10.803,22.77,3.623
-0.407,0.312,-0.639,5.432,10.986,2.991,22.566,-10.458
-0.418,0.358,-0.856,7.08,-23.926,-5.737,21.122,-19.93
-0.214,0.369,-0.843,-2.502,-64.88,-19.287,21.501,-21.828
0.038,0.507,-0.855,25.94,-87.769,-36.743,24.795,-15.759
0.281,0.482,-0.931,1.221,-90.332,-42.969,26.127,-4.599
0.551,0.445,-0.836,13.428,-83.557,-42.358,27.078,9.542
0.715,0.381,-0.724,-1.77,-70.984,-40.466,26.112,22.616
0.82,0.309,-0.597,-11.902,-37.659,-17.09,22.576,34.182
0.854,0.237,-0.467,-20.142,-24.597,-16.907,19.203,44.799
0.892,0.23,-0.438,-22.583,-20.142,-5.127,16.269,52.604
0.91,0.187,-0.365,0.854,-5.371,-2.319,13.718,58.858
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
0.936,0.146,-0.311,9.521,2.319,-0.488,11.509,63.75
0.916,0.278,-0.337,-10.254,5.737,-1.892,12.069,65.347
0.895,0.217,-0.474,26.917,47.974,18.372,11.842,65.036
0.81,0.167,-0.685,9.766,70.19,28.809,11.448,60.905
0.75,0.431,-0.762,-14.221,105.286,44.678,15.083,53.348
0.516,0.442,-0.825,18.311,106.995,57.556,17.265,44.54
0.133,0.303,-0.873,11.963,85.693,46.021,19.27,32.872
-0.15,0.423,-0.864,-12.39,72.937,27.405,24.247,18.71
-0.338,0.46,-0.721,-10.01,57.373,19.104,26.353,2.517
-0.424,0.31,-0.676,16.907,29.48,7.019,24.852,-12.646
-0.39,0.434,-0.654,-10.681,-26.123,-10.925,26.993,-21.31
-0.231,0.422,-0.638,14.648,-78.186,-27.588,28.265,-23.763
0.061,0.58,-0.929,9.399,-112.915,-38.391,29.705,-16.23
0.366,0.517,-0.959,23.499,-88.928,-53.589,31.508,-2.977
0.56,0.43,-0.824,15.747,-66.223,-43.823,29.582,11.041
0.734,0.434,-0.651,-34.607,-48.523,-37.354,27.435,23.862
0.766,0.27,-0.558,-3.967,-30.09,-26.001,23.207,35.383
0.852,0.206,-0.503,-18.25,-34.18,-22.949,19.14,45.441
0.874,0.167,-0.428,0.183,-31.494,2.075,15.541,53.407
0.896,0.161,-0.404,6.897,-2.93,2.563,11.7,58.738
aX,aY,aZ,gX,gY,gZ,Roll,Pitch
