Exercise,Ax_Min,Ax_Max,Ax_Mean,Ax_std,Ax_med,Ay_Min,Ay_Max,Ay_Mean,Ay_std,Ay_med,Az_Min,Az_Max,Az_Mean,Az_std,Az_med,Gx_Min,Gx_Max,Gx_Mean,Gx_std,Gx_med,Gy_Min,Gy_Max,Gy_Mean,Gy_std,Gy_med,Gz_Min,Gz_Max,Gz_Mean,Gz_std,Gz_med,Pitch_Min,Pitch_Max,Pitch_Mean,Pitch_std,Pitch_med,Roll_Min,Roll_Max,Roll_Mean,Roll_std,Roll_med
9,-0.987,0.849,-0.001619048,0.711020108,0.107,0.001,0.479,0.287285714,0.117875882,0.107,-0.992,-0.213,-0.59768254,0.239627051,-0.542,-30.212,22.217,1.833095238,10.80204639,3.357,-40.161,68.604,0.855444444,30.47818778,-1.77,-26.428,24.414,-0.814714286,11.80170827,-1.343,-74.879,58.764,-2.39847619,49.31509534,6.023,5.157,27.509,16.78847619,6.373576974,18.916
9,-0.975,0.846,0.0026,0.683314379,0.141,-0.072,0.588,0.285672727,0.133779539,0.141,-1.021,-0.146,-0.627145455,0.235019733,-0.638,-15.625,29.663,2.638909091,10.24357454,0.244,-61.523,61.096,1.657963636,32.34209685,-0.427,-25.574,19.409,-0.312945455,11.89951955,-1.77,-77.526,55.725,-2.561818182,47.12562169,5.216,3.026,30.405,16.68841818,7.382806208,18.135
9,-1.194,0.868,0.020381818,0.746700086,0.241,-0.091,0.513,0.266836364,0.144467703,0.241,-1.069,0.004,-0.549,0.287451059,-0.554,-38.757,60.486,2.399254545,15.45376416,0.916,-78.735,84.29,0.3496,38.89510261,0.488,-38.269,27.893,-0.690254545,13.89100799,-0.671,-85.644,60.261,-3.0362,53.50466578,13.254,-0.025,26.632,15.55281818,7.737801693,18.11
9,-0.993,0.81,-0.144306452,0.705246884,-0.2325,0.115,0.665,0.363580645,0.15128418,-0.2325,-0.943,0.016,-0.524967742,0.262142057,-0.5705,-29.236,24.475,3.309693548,10.47388424,3.113,-46.326,54.321,1.458935484,29.49769985,0.122,-30.212,25.94,-1.494370968,13.70527018,-0.977,-80.213,57.01,-13.13287097,49.60244621,-13.488,9.287,40.336,21.48133871,9.033316797,20.7955
9,-1,0.836,-0.158726027,0.70386132,-0.332,0.043,0.592,0.348739726,0.139363436,-0.332,-0.881,0.02,-0.54030137,0.245420653,-0.535,-20.813,27.71,1.878657534,8.788770154,2.625,-47.668,64.636,0.941506849,26.78961998,0.061,-32.043,29.419,-0.669671233,12.07430011,-1.77,-81.672,53.847,-13.67965753,49.15645237,-16.945,7.355,34.106,20.79267123,8.152253153,22.028
9,-0.997,0.825,-0.123111111,0.719423921,-0.195,0.025,0.491,0.27884127,0.13313905,-0.195,-0.981,-0.035,-0.561984127,0.271353685,-0.571,-17.151,25.33,2.576095238,9.644017632,3.601,-59.387,48.035,1.190698413,30.70497325,0.244,-33.813,22.095,0.081428571,11.89949776,-0.305,-82.225,55.124,-12.0652381,50.97505221,-7.715,4.111,27.092,16.19236508,7.404911355,18.479
9,-1.015,0.88,-0.092532258,0.738237372,-0.1215,0.017,0.614,0.313258065,0.157220315,-0.1215,-0.928,-0.016,-0.525,0.262839975,-0.5315,-39.246,27.771,0.868322581,12.17435581,0.6105,-73.608,45.715,0.543467742,30.89400577,0.5795,-33.508,25.635,-1.331951613,15.16596509,0.0305,-83.032,58.2,-10.16866129,52.28739773,-6.474,5.366,35.111,18.50740323,9.111908045,19.897
9,-0.989,0.835,-0.0255,0.722819049,0.082,-0.049,0.577,0.342258621,0.144477712,0.082,-0.969,-0.131,-0.546724138,0.241447448,-0.5275,-54.871,49.194,2.261448276,14.78239776,0.702,-65.002,65.735,1.174431034,33.63967151,0.5185,-27.893,25.452,-1.750017241,14.46090144,-1.77,-78.669,56.432,-4.985948276,50.62788283,4.994,5.528,33.48,20.21146552,8.096006445,22.122
9,-1.013,0.816,-0.207352941,0.67299231,-0.387,0.004,0.616,0.292397059,0.157224067,-0.387,-0.977,0.024,-0.589794118,0.25096462,-0.6345,-22.278,35.583,2.977264706,12.08559509,3.2045,-40.1,56.152,1.333794118,26.70562122,-1.648,-31.311,23.804,-0.665117647,12.90072979,-1.831,-82.145,54.584,-16.68036765,47.03573543,-22.6805,3.25,32.063,17.09886765,8.94454673,19.4135
9,-1.034,0.494,-0.434775701,0.58668791,-0.711,-0.208,0.273,-0.020915888,0.129854354,-0.711,-1.083,0.244,-0.52828972,0.487327018,-0.724,-13.794,25.574,2.334794393,6.761962184,2.075,-61.096,45.837,0.179084112,33.11850343,-0.916,-12.085,7.019,-1.105981308,4.513461193,0.427,-83.006,27.26,-33.9564486,41.77797335,-44.84,-9.967,13.611,-1.402327103,7.018698816,-3.664
9,-1.023,0.488,-0.341174757,0.566682095,-0.43,-0.224,0.158,-0.003669903,0.108490299,-0.43,-1.086,0.144,-0.685485437,0.390754596,-0.91,-11.658,11.047,1.146631068,5.076090158,1.038,-43.884,57.495,0.184873786,30.729662,-4.822,-9.583,9.644,-0.162970874,4.589569243,-1.465,-81.323,27.157,-26.16926214,39.92762241,-23.792,-10.171,12.028,-0.174417476,6.157183338,1.251
9,-1.035,0.477,-0.41912037,0.567548075,-0.6225,-0.178,0.159,-0.010305556,0.093290868,-0.6225,-1.08,0.289,-0.582787037,0.471564983,-0.8145,-10.62,17.944,1.562037037,6.790377771,1.1905,-49.438,47.546,-0.139574074,31.21249575,0.092,-7.446,6.531,-0.825703704,3.652839216,-1.1905,-84.184,26.896,-32.02833333,40.40313524,-37.61,-8.03,7.794,-0.62812037,5.034175619,-1.9985
9,-1.018,0.486,-0.398218182,0.572749835,-0.592,-0.177,0.237,0.010209091,0.116539405,-0.592,-1.068,0.21,-0.605054545,0.451041808,-0.846,-11.719,18.921,2.3243,6.356464223,2.4105,-55.359,40.894,0.134245455,29.92697881,-1.2815,-19.714,7.69,-1.424381818,5.965689485,-0.1525,-84.409,26.768,-30.6123,40.79656445,-33.7465,-9.473,10.868,0.4347,6.396570219,0.346
9,-1.027,0.465,-0.493678899,0.53215994,-0.73,-0.195,0.111,-0.045697248,0.093280888,-0.73,-1.067,0.306,-0.528688073,0.49807674,-0.725,-13.855,17.212,1.862394495,5.451121704,2.258,-72.205,43.701,-0.008412844,31.27255381,2.136,-10.437,7.568,-1.323211009,4.485808604,-0.122,-82.712,26.398,-36.8793945,38.3333524,-46.401,-10.719,5.412,-2.606366972,5.208323011,-3.279
9,-1.019,0.504,-0.50162,0.558615673,-0.816,-0.178,0.317,0.00112,0.136412941,-0.816,-1.086,0.225,-0.50668,0.473723482,-0.63,-30.884,28.625,2.43475,8.87634592,3.9365,-49.438,62.561,2.06783,31.92272758,-1.892,-17.456,9.888,-1.28356,5.349978488,-1.0075,-84.746,27.447,-38.64947,40.53898271,-52.327,-8.99,15.695,-0.14303,7.319110438,-2.9845
9,-1.024,0.497,-0.335158416,0.580277102,-0.402,-0.22,0.22,-0.00870297,0.112475735,-0.402,-1.076,0.242,-0.62250495,0.463977728,-0.896,-63.293,32.288,-0.828514851,11.5725541,1.221,-49.744,48.523,0.094257426,30.19803154,-0.305,-15.32,28.076,1.334306931,6.222448524,1.038,-84.359,26.748,-26.5700198,41.54076571,-22.823,-8.974,13.221,-0.248247525,6.090259959,0.03
9,-1.018,0.461,-0.44909,0.550743356,-0.6785,-0.192,0.176,-0.0367,0.11446666,-0.6785,-1.063,0.245,-0.57188,0.466952754,-0.787,-16.357,18.799,2.12277,6.128058852,3.052,-50.842,55.664,0.61523,28.82412802,1.2515,-8.179,6.531,-1.65464,3.435640436,-1.465,-84.017,25.733,-33.71451,39.31712209,-40.511,-9.886,7.578,-2.36198,6.232642684,-4.3605
9,-1.023,0.473,-0.450546392,0.565113392,-0.713,-0.25,0.182,-0.020134021,0.11275828,-0.713,-1.076,0.336,-0.528175258,0.501729198,-0.71,-18.311,28.687,1.982020619,7.716568925,2.38,-50.964,47.18,0.422824742,30.80781167,0.854,-10.62,9.277,-0.864556701,4.747909937,-0.183,-83.182,25.421,-34.36385567,40.1331427,-45.449,-10.622,9.35,-1.185371134,6.184304315,-2.712
10,-0.507,0.964,0.256864865,0.62996147,0.399,-0.182,0.333,0.096945946,0.174594442,0.399,-1.046,-0.296,-0.683054054,0.212053838,-0.781,-36.804,54.504,2.210513514,14.9985369,2.441,-114.807,105.713,1.068918919,52.04330242,-1.038,-8.118,28.198,3.919432432,9.731249396,1.099,-30.375,69.424,18.20024324,41.15271203,21.338,-6.533,20.195,6.112891892,10.11698075,7.049
10,-0.535,1,0.342190476,0.638981478,0.6165,-0.247,0.268,0.049452381,0.155591899,0.6165,-1.023,-0.183,-0.63797619,0.251595445,-0.7275,-36.926,19.104,-1.175595238,11.94518896,0.122,-95.825,97.412,-1.653714286,47.43485063,0.3965,-12.512,29.297,4.114047619,9.904777246,1.068,-32.27,74.225,24.16154762,42.45630106,34.753,-9.086,15.622,3.303142857,8.690103588,2.0535
10,-0.55,1.008,0.333073171,0.658874434,0.607,-0.179,0.262,0.052707317,0.156164536,0.607,-1.064,-0.228,-0.614560976,0.266652681,-0.733,-53.955,41.016,-0.921463415,16.69959909,0.916,-85.999,111.145,-0.293292683,52.60495509,-0.671,-19.043,24.475,1.875780488,8.744800628,0.671,-34.235,74.087,24.43585366,44.72284351,34.486,-7.873,15.172,3.420560976,8.984881249,2.962
10,-0.44,1.011,0.38455,0.606752556,0.6675,-0.251,0.271,0.038175,0.150985631,0.6675,-1.014,-0.242,-0.641725,0.270073778,-0.7685,-29.785,34.058,0.778125,11.89027468,0.702,-89.539,106.323,0.024425,48.91538431,-0.3965,-6.531,20.203,2.844275,7.220599105,0.854,-26.994,74.485,27.708075,40.99714911,36.2725,-8.217,15.379,2.560075,8.518198745,-0.037
10,-0.424,0.996,0.32295,0.600996179,0.4195,-0.224,0.249,0.023875,0.13667183,0.4195,-1.012,-0.225,-0.677475,0.274125836,-0.8265,-29.48,29.907,-0.02595,11.71170836,-0.0305,-78.125,96.68,-0.36315,46.86629816,-1.709,-13,20.996,2.868575,6.586404022,1.1905,-25.505,74.917,23.42055,40.46498939,24.976,-9.267,12.882,1.696775,7.560154528,0.2185
10,-0.47,0.996,0.357804878,0.616435488,0.542,-0.173,0.17,-0.007097561,0.09502021,0.542,-1.067,-0.236,-0.649390244,0.277361847,-0.799,-35.217,25.513,1.390463415,11.7219887,2.502,-93.201,103.088,0.251634146,48.40918196,-0.61,-3.784,11.353,1.634609756,3.655197956,1.038,-28.778,74.745,26.1104878,41.85749187,35.387,-8.158,7.775,-0.343219512,5.35481231,-2.387
10,-0.445,1.014,0.36525,0.612791166,0.602,-0.19,0.193,0.019325,0.108406734,0.602,-1.021,-0.209,-0.6492,0.28194282,-0.782,-21.179,26.917,0.8545,10.75411705,0.8545,-80.872,103.577,0.12205,48.8455525,-0.7325,-6.836,17.517,0.805675,4.508460061,0.2135,-27.196,75.492,26.571725,41.59643883,33.693,-6.826,9.734,1.358925,5.83792693,-0.163
10,-0.386,1.039,0.423926829,0.580717848,0.677,-0.189,0.261,0.035585366,0.129767287,0.677,-1,-0.176,-0.623292683,0.307457984,-0.76,-37.781,23.376,0.206902439,12.26743406,1.16,-87.769,101.257,-0.531463415,46.94819078,-1.221,-11.292,23.56,3.084536585,7.667591627,1.465,-23.098,77.443,31.465,40.58662246,42.165,-6.851,13.576,2.293097561,7.08476707,-1.435
10,-0.387,1.026,0.409357143,0.583437368,0.6175,-0.177,0.188,0.012095238,0.116869494,0.6175,-0.988,-0.173,-0.634,0.303454099,-0.814,-27.954,28.198,1.9575,11.53742248,1.3425,-76.66,90.82,0.52597619,44.72436923,-1.282,-6.226,16.785,1.633404762,4.923414035,0.7625,-22.533,78.352,30.32245238,40.60114617,36.672,-6.837,10.467,0.977642857,6.472413878,-1.8535
10,-0.4,1,0.392725,0.596847573,0.667,-0.121,0.283,0.043775,0.143155911,0.667,-1.016,-0.196,-0.6308,0.290437619,-0.798,-18.921,19.165,1.112325,9.122340451,1.6785,-97.717,108.215,-0.576725,48.7597033,-0.6405,-7.812,33.142,3.390525,9.36447018,0.61,-23.746,76.52,28.928925,41.10999487,35.4635,-6.317,14.739,2.85455,8.131126358,-1.4445
10,-0.644,0.868,0.290033333,0.543630166,0.5095,0.255,0.581,0.414166667,0.092686004,0.5095,-0.937,-0.285,-0.655433333,0.185120964,-0.638,-42.725,37.354,4.7526,14.68775443,4.211,-98.022,100.22,0.2341,51.72527013,-0.183,-43.518,43.274,-3.257233333,24.13740647,-0.58,-39.351,59.558,17.55423333,33.50804155,27.4155,18.192,32.153,25.03243333,3.948287675,24.9345
10,-0.533,0.917,0.344851852,0.547111345,0.571,0.25,0.599,0.396777778,0.088813258,0.571,-0.905,-0.273,-0.627518519,0.199062489,-0.694,-24.353,24.719,4.333518519,13.24310056,4.456,-94.788,86.914,2.337407407,53.35662968,0.671,-84.961,45.532,-0.895222222,31.96242679,0.366,-33.448,61.318,22.33448148,34.58991272,31.968,18.47,32.312,23.76085185,4.164782511,23.247
10,-0.554,0.914,0.337217391,0.550046028,0.517,0.322,0.622,0.434304348,0.08707543,0.517,-0.903,-0.305,-0.610173913,0.189805319,-0.61,-43.152,32.532,2.229130435,18.10223171,2.808,-87.402,110.657,2.804913043,60.33304739,-1.282,-59.998,67.993,0.851826087,36.71641006,0.854,-35.791,60.834,21.23973913,34.52763556,31.343,20.556,33.951,26.35526087,4.115887524,26.395
10,-0.524,0.919,0.417884615,0.532923359,0.722,0.252,0.584,0.411769231,0.088857327,0.722,-1.035,-0.318,-0.599115385,0.202051741,-0.6065,-16.479,27.71,4.169192308,12.34462393,3.8755,-96.069,120.056,1.415615385,56.39784842,0.244,-55.786,63.232,-0.340461538,32.73663001,-0.6715,-32.465,61.44,26.82257692,33.57347987,38.266,18.603,31.199,24.69519231,4.076987506,24.164
10,-0.314,1.113,0.48073913,0.476941412,0.744,0.258,1.083,0.429565217,0.152898905,0.744,-0.9,-0.277,-0.605217391,0.220155927,-0.672,-107.727,46.692,1.287086957,30.95850793,2.441,-131.287,92.957,2.781043478,58.01262808,5.249,-122.07,48.218,-1.371913043,40.53451902,1.587,-16.484,61.055,30.70082609,28.26794707,37.751,19.716,33.84,25.36008696,3.523937285,25.251
10,-0.636,0.881,0.279782609,0.597755572,0.44,0.301,0.59,0.420173913,0.095398519,0.44,-0.921,-0.309,-0.614478261,0.18795475,-0.645,-23.01,52.917,2.157434783,20.4082396,0.549,-97.9,105.164,2.340565217,62.470824,-0.671,-96.985,60.425,0.679434783,37.68674952,1.282,-40.537,60.577,17.62695652,37.13380685,25.457,19.639,31.673,25.57973913,3.890950728,25.414
10,-0.852,0.928,0.260962963,0.683242579,0.612,0.203,0.587,0.366851852,0.108881624,0.612,-0.953,-0.18,-0.560222222,0.218157377,-0.523,-21.851,37.781,3.099222222,14.57099364,3.662,-108.032,115.54,0.766222222,67.60742113,2.136,-78.613,54.199,-2.179074074,35.71916175,1.831,-58.286,66.031,15.82392593,44.75394245,30.243,14.584,31.689,22.02496296,4.984220937,21.344
10,-0.691,0.92,0.33992,0.618509224,0.681,0.177,0.573,0.38732,0.107366863,0.681,-0.957,-0.307,-0.587,0.198683165,-0.607,-33.386,67.017,5.22468,23.13242563,2.258,-133.118,119.934,0.84476,69.3752372,0.366,-106.873,49.622,-2.24848,39.99346083,1.892,-45.215,63.15,21.68152,39.19932909,37.734,17.837,32.378,23.32836,4.292651782,22.804
